DO,pH,Temp 
11.7,7.3,5.9
12,7.4,3
10.5,7.2,5.9
10.1,7.4,10
12.6,7.2,1.6
9.9,7.1,9.7
10.4,7.2,9.8
9.2,7.1,16.1
9.2,7.2,15
8.6,7.3,15.7
8.8,7.6,17.5
10,7.9,19.3
9.8,7.5,16.1
10.1,7.9,18.8
8.2,7.8,22.1
10.8,9.1,21.7
8.7,8.5,22.3
9.4,8.6,23.8
10.4,9,27.9
9.8,9,29.5
7.3,8.1,25.5
10.7,9,28.5
11,9.4,30.5
10.7,9.2,29
10.2,9.2,22
6.9,8.8,24.5
9.1,9.1,27
9.8,9.3,27
8.6,8.5,17
7.9,8.4,21
8.2,8.1,20.5
6.9,8.1,23
8.4,8.1,17
7.4,7.6,18
9,7.3,15
9.4,7.7,13
11.4,6.9,5
10.4,6.9,8
,7.5,17
12,7.5,17.5
,8,23
12,8,25.5
,8.5,28.5
1.6,9,30
6.2,9,27
5.8,9.5,25
3.2,9,21.5
7.3,9,28
7.1,9,28
6,7.5,26
7.8,8.5,15
,7.5,21.5
,8,8.5
10.3,7.5,9
10.2,7,3
11.9,7.5,3
10.8,7.5,7
9.7,7.5,10
10.8,7.5,9
10.8,7.5,10
10.6,7,10
11.6,7.5,5
13.8,7,2.5
11.6,7,7
9,7,17
7.8,7,15
10.8,7,9.5
9.6,8,5
10.8,7,11
9.7,7,15
10.7,7,15
10,7,18
8.9,7,17
8.4,7,20
,7,22
8.9,7,19
6.9,7,24
7.9,7,24
7.7,7,23.5
7.9,7,26
7.8,7,24
7.5,7.5,26
7.5,7,26.5
6.9,7.75,27
7.7,8,26
7.8,8,27
8.9,8,27
8.1,8,23
8.8,8,21
8.2,8,23
12.5,8,9
11.05,7.5,8
11.8,8,9
12.2,8,4.5
13.2,7.5,4.5
11.9,7.5,9
,7.5,9
11.1,7.5,7.5
10.8,7.5,12
11.8,7.5,8
10,7.5,15
12.9,7.5,6
9.95,7.7,11
9.8,8,14
10.7,8,13
8.7,8,19
8.9,7.5,14
9.75,7.5,12.5
8.3,7.5,20.5
8,7.5,21
9.5,7.5,15.5
6.9,7.5,23
6.8,7.5,26
8.1,7.5,21
7.8,7.5,28
8,7.5,27.5
7.8,7,29
8,7.5,24.5
8.4,8,27
8.8,8,25
7.8,8,26
7.8,8,26
7.7,8,25
8.2,8,22.5
8.5,8,20
7.7,7.5,21
9.7,7.5,13
9.2,7.5,13
10.2,7.7,13
11.3,7,12
9.1,7,17
10.8,7.5,12
10.4,7.5,10
15.1,8,2
11.6,7.5,7
11.8,7.5,10
11.3,7.5,7.5
12.6,7,2
11.6,7,6
14.2,7,3
11.1,7,10
10,7.5,12.5
11.3,8,13
10,7.5,16
,7,3
11.6,7.5,3
11,7.5,9
10.6,7.5,13
9.4,7,17
9.6,7,14
8.9,7.5,15.5
9.2,7.5,17.5
9,7.5,
9.4,7,20
7.9,7,27.5
7.8,8,25
9,7.5,19
0.8,7.5,26
7.5,7.5,25
7.3,7.5,28.5
7.6,8,28
8,8,26
8,8,23
7.1,7.5,24.5
8.5,8,24.5
7.7,7.5,23
9.2,8,19.5
7.6,7.5,23.5
9.8,8,24
9.2,7.5,16
9.8,7.5,12
10.6,7,12.5
10.6,7.5,16.5
11.3,7.5,9
11,7.5,7.5
9,7.85,18.5
10.9,7.5,9
10.8,7,12
10.1,7,10.5
13.2,7,5.5
11,7,8
11.9,7,9
10.5,7,10.5
12,7,6
12.6,7,5
12.4,7,8
12.7,7,8
10.7,7,10
12.8,7,2.5
11.2,7,10
10,7,14.5
9.5,,17.5
10,7,10
9.7,7,15.5
10,7,14.5
8.7,7,19
8,7,21
8,7,24
9,7,20
,7,23
8.1,7,21.5
7.2,7,26.5
7.1,7,26.5
7.4,7.5,30
7.3,7.5,27
7.5,7.5,28
8,8,26.5
9.1,8,25.5
7.2,,25.5
7.8,7,24
8.5,8,21.5
7.2,7.9,24.5
9.3,8.3,19
8.8,7.8,16.5
8.8,7.7,18
10.6,8.4,15.6
8.2,7.5,9.8
9.6,7.9,17.3
9.4,7.1,12.1
9.8,7.4,10.5
13,7.6,1.3
12.1,7.1,3.8
8.5,7.4,13.5
10.75,7.1,4.5
12.5,6.8,2
9.3,7.1,9.5
9.9,6.9,11.5
8.9,7.1,12.5
9,7.1,11
9.3,7.1,11.5
8.5,7.1,15
9,7.1,16
9.7,7.4,12.5
