epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,147.496,0.69794,0.83766,1,0.47676,0.000410053,0.000410053,0.000410053
2,310.409,0.30637,0.76299,1,0.8623,0.000821263,0.000821263,0.000821263
3,488.962,0.5222,0.75325,1,1.08115,0.00122697,0.00122697,0.00122697
4,630.876,0.72237,0.43182,1,6.87813,0.00122525,0.00122525,0.00122525
5,762.344,0.65591,0.76948,1,0.77891,0.001217,0.001217,0.001217
6,898.128,0.53138,0.76623,1,0.63115,0.00120875,0.00120875,0.00120875
7,940.339,0.43433,0.76623,1,0.74014,0.0012005,0.0012005,0.0012005
8,975.369,0.38837,0.84091,1,0.53389,0.00119225,0.00119225,0.00119225
9,1010.79,0.34955,0.7987,1,0.73545,0.001184,0.001184,0.001184
10,1046.23,0.33761,0.86688,1,0.41543,0.00117575,0.00117575,0.00117575
11,1081.77,0.32283,0.81169,1,0.60381,0.0011675,0.0011675,0.0011675
12,1116.82,0.2617,0.86364,1,0.48633,0.00115925,0.00115925,0.00115925
13,1151.92,0.22332,0.8539,1,0.52344,0.001151,0.001151,0.001151
14,1206.97,0.27086,0.8474,1,0.50405,0.00114275,0.00114275,0.00114275
15,1276.31,0.2174,0.85714,1,0.40381,0.0011345,0.0011345,0.0011345
16,1346.36,0.21884,0.90584,1,0.29025,0.00112625,0.00112625,0.00112625
17,1414.9,0.19158,0.85065,1,0.54602,0.001118,0.001118,0.001118
18,1486.63,0.24334,0.8474,1,0.44678,0.00110975,0.00110975,0.00110975
19,1555.58,0.19548,0.90584,1,0.28965,0.0011015,0.0011015,0.0011015
20,1626.89,0.1891,0.86688,1,0.48682,0.00109325,0.00109325,0.00109325
21,1696.41,0.22507,0.84091,1,0.50195,0.001085,0.001085,0.001085
22,1764.56,0.22044,0.87987,1,0.45483,0.00107675,0.00107675,0.00107675
23,1785.25,0.18776,0.86688,1,0.48525,0.0010685,0.0010685,0.0010685
24,1803.81,0.19237,0.85714,1,0.51973,0.00106025,0.00106025,0.00106025
25,1822.38,0.1916,0.88636,1,0.37944,0.001052,0.001052,0.001052
26,1841.09,0.17363,0.80844,1,0.78071,0.00104375,0.00104375,0.00104375
27,1859.71,0.19438,0.88636,1,0.37034,0.0010355,0.0010355,0.0010355
28,1878.33,0.16843,0.89935,1,0.34526,0.00102725,0.00102725,0.00102725
